07/30/2024-08:12:28.863221  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:33.881984  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:38.896658  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:43.919570  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:48.926738  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:53.941649  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:12:58.957744  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:03.957867  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:08.973605  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:13.995675  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:19.004521  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:24.020389  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:29.031263  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:34.036292  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:39.052502  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
07/30/2024-08:13:44.054124  [**] [1:2030358:1] ET MALWARE STRRAT CnC Checkin [**] [Classification: Malware Command and Control Activity Detected] [Priority: 1] {TCP} 172.16.1.66:49754 -> 141.98.10.79:12132
